customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code
000fe0cb78750fe7a65aa52943df29b6b781016fda241685fb814e2fc0f427a1,,,ACTIVE,NONE,21.0,000a3543b8ec684af4b8ee0e730304d2a814646202117263899f05fd1c526bc7
003269a1b1219e541c64d36b7e37648ed9b7cccd1fd1d4dcfb2ba34d856968ec,,,ACTIVE,NONE,33.0,a8378baa332729c89b83bfb49f74c4c4b1a73ec8c1ea52eb91bb41531f50e043
0068ecf843757fb694ccea8464cc77e8e035e78f56999ac86cddd4fe91d6fdc6,1.0,1.0,ACTIVE,Regularly,68.0,9e17d8a3dc77b9488041af20ea9dc2b8ef2265e9ce8f34ff50fd96f0e219920b
00cd746a1260bc81b14b21a23e29fd520b37cd32d92b09f018cdea9d51b7b203,,,ACTIVE,NONE,24.0,d7f01a272631a993574bc6dc2925bee2ca6ec37b7f7a0075e432b54426359021
00d7565b8bb98175271fd76a55d7a41cc20148408fc32a9739650789793d7ee3,,,ACTIVE,NONE,53.0,fb85b4215656e6d86b1727b83b04b5418623bc60b433bc1d35723662cee63c44
01701efe58afe88d2ea992f94911156198b522e5e9481c40f6656fcc89093c47,,,ACTIVE,NONE,17.0,67a572e0980c29cbb58832a0f6609b80df4aea3d30b0d730b283d398259d0861
017659c1b1ae4052c9bf969030e0cb33b05d28d90b1f2301f73098caf94aa801,1.0,1.0,ACTIVE,Regularly,60.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
018747a26478aef6b6b789177f9a0badbaff3dcae6cf8849100b814e3a5aaf56,,,ACTIVE,NONE,30.0,9d5568c0405542de0d810065d20582755b13bd10a4bb0ddff2cbe6d6b6063338
0189cee5ebed7e84ba1647d7498b3ad15f9f80436234bcf9a53265a185d1ded2,1.0,1.0,ACTIVE,Regularly,37.0,34dec9b0868a3fda51b599d832eb6e582f91711f9d568c7624a2bc8b7c429fcb
01a821cfd7920caf49609fcb63d24a90ff085bdc792e6d929e75ff7589f73132,,,ACTIVE,NONE,28.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
